Level,Group,Name,SKU,Default,Price,Currency,Notes
1,System,AquaClean Basic System,SYS-AC-BASIC,Yes,0,USD,Starter system for small offices
1,System,AquaClean Pro System,SYS-AC-PRO,No,0,USD,Advanced system for larger facilities
2,Filter Type,Sediment Filter 5 Micron,FILT-SED-5,Yes,45,USD,Standard particulate pre-filter
2,Filter Type,Carbon Block Filter,FILT-CARB-10,No,65,USD,Improves taste and odor
2,Filter Type,Ultra Filter UF Membrane,FILT-UF-01,No,120,USD,Higher filtration efficiency
2,Pump Option,Standard Booster Pump,PUMP-STD-1,Yes,180,USD,Baseline pressure support
2,Pump Option,High-Pressure Booster Pump,PUMP-HP-2,No,320,USD,Required for UF membrane option
2,Tank Size,20L Storage Tank,TANK-20L,Yes,110,USD,Compact tank for low demand
2,Tank Size,50L Storage Tank,TANK-50L,No,185,USD,Mid-size tank for medium demand
2,Tank Size,100L Storage Tank,TANK-100L,No,320,USD,Large tank for high demand
2,Control Panel,Basic Control Panel,CTRL-BASIC,Yes,95,USD,Manual controls and status LEDs
2,Control Panel,Smart IoT Control Panel,CTRL-IOT,No,240,USD,Remote monitoring and alerts
2,Install Kit,Standard Install Kit,KIT-INSTALL-STD,Yes,75,USD,Includes hoses and mounting bracket
2,Install Kit,Premium Install Kit,KIT-INSTALL-PRO,No,130,USD,Includes stainless fittings and extras
